spike_sd,gap_h,td_gru_p,grud_p,delta
0.0,3.0,0.37291035056114197,0.1671079695224762,0.20580238103866577
0.0,6.0,0.36979246139526367,0.16561836004257202,0.20417410135269165
0.0,12.0,0.35596704483032227,0.16724814474582672,0.18871890008449554
0.0,24.0,0.349186509847641,0.1730041801929474,0.1761823296546936
1.0,3.0,0.39137789607048035,0.17652016878128052,0.21485772728919983
1.0,6.0,0.387635201215744,0.17635776102542877,0.21127744019031525
1.0,12.0,0.3699944019317627,0.1768622100353241,0.1931321918964386
1.0,24.0,0.3613579273223877,0.17786134779453278,0.18349657952785492
2.0,3.0,0.3865705132484436,0.17072422802448273,0.21584628522396088
2.0,6.0,0.3825540244579315,0.171530619263649,0.21102340519428253
2.0,12.0,0.3629574775695801,0.174155592918396,0.18880188465118408
2.0,24.0,0.3536281883716583,0.17791016399860382,0.1757180243730545
3.0,3.0,0.3822312653064728,0.1725456267595291,0.20968563854694366
3.0,6.0,0.3780275583267212,0.17283780872821808,0.2051897495985031
3.0,12.0,0.3570583462715149,0.17580734193325043,0.18125100433826447
3.0,24.0,0.3472446799278259,0.18103177845478058,0.16621290147304535
